input_text,target_text,task,split
AYER METRO AMETRALLADORA SOLDADO YO VER,ayer en el metro vi a un soldado con su ametralladora,mslg-spa,train
a mariana le gusta bailar,MARIANA BAILAR ELLA GUSTAR,spa-mslg,train
el disfraz está hecho de papel,DISFRAZ HACER. PAPEL,spa-mslg,train
YO M ABOFETEAR PERSONA M,esa persona me abofeteó,mslg-spa,val
SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO,la semana pasada compré cinta canela en el centro,mslg-spa,train
BLOQUEAR PROTEGER SOL,el bloqueador me protege del sol,mslg-spa,train
mi amigo me besó en el cine,YO M AMIGO YA BESAR CINE,spa-mslg,train
no puedo decirlo debo aguantarme,YO DECIR NO-PODER YO DEBER AGUANTAR,spa-mslg,train
SIEMPRE TODO TU ESPOSO DAR-EL-AVIÓN,tu esposo siempre me da el avión en todo,mslg-spa,train
no termino mi tarea todavía,TODAVÍA MI TAREA YO NO TERMINAR,spa-mslg,test
YO M PERSONA ABOFETEAR M,esa persona me abofeteó,mslg-spa,val
ESE PROFESOR SIEMPRE ¡FEO! ESO AMARGADO,ese profesor siempre está amargado ¡qué feo,mslg-spa,train
AYER METRO VER YO SOLDADO AMETRALLADORA,ayer en el metro vi a un soldado con su ametralladora,mslg-spa,train
PERSONAS SORDAS TENER SU DERECHO EDUCACIÓN BILINGÜE,las personas sordas tienen derecho a una educación bilingüe,mslg-spa,train
YO NO-FUI COMPUTADORA NO-SIRVE,yo no fui quien descompuso la computadora,mslg-spa,train
el escudo de la bandera de méxico es muy bonito,BANDERA MÉXICO ESCUDO ESE MUCHO BONITO,spa-mslg,train
YO YA CONVENCER MI AMIGO IR FIESTA,convencí a mi amigo de ir a la fiesta,mslg-spa,train
YO JUGAR PARTICIPAR DEPORTIVO-GALEANA,tengo un partido en el deportivo galeana,mslg-spa,val
AYER MAMÁ PREPARAR ATOLE,ayer mi mamá preparó atole,mslg-spa,train
SPANISH TO MSLG: YO TENER TRABAJO YA CONTENTO,ya tengo trabajo estoy contento,mslg-spa,train
AÑO-PASADO DICIEMBRE BOGOTÁ MÍ JEFE VIAJAR,en diciembre del año pasado mi jefe viajó a bogotá,mslg-spa,train
AYER BANCO ROCÍO DINERO RETIRAR,rocío retiró dinero ayer en el banco,mslg-spa,train
acostumbro usar taxi siempre,SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI,spa-mslg,train
JOSÉ APRENDER IDIOMA ITALIA,josé aprende la lengua de italia,mslg-spa,train
el fácil aprender las letras del abecedario,FÁCIL APRENDER LETRA ABECEDARIO,spa-mslg,train
mi auto no tiene cinturón de seguridad,CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY,spa-mslg,train
el egipcio no respondió,HOMBRE EGIPCIO NO RESPONDER,spa-mslg,train
él es mi ex novio,ÉL MI EX NOVIO,spa-mslg,test
DIARIO YO MANEJAR CARRO YO DEBER PONER-GASOLINA,diario manejo mi auto debo ponerle gasolina,mslg-spa,train
mi hermana y su amigo siempre están juntos ahora ella imita su comportamiento,SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER,spa-mslg,train
SIEMPRE ÉL DISTRAÍDO,él siempre está muy distraído,mslg-spa,train
la semana pasada compre cintas canela en el centro,SEMANA PASADA CINTA CANELA YO COMPRAR CENTRO,spa-mslg,train
¡ay qué sopresa verte aquí,AY! SORPRESA AQU YO VER TI,spa-mslg,train
aimé saltó en paracaídas,AIMÉ SALTAR PARACAIDAS,spa-mslg,train
mi tío vive en orizaba,MI PRIMO ORIZABA VIVIR,spa-mslg,train
austría es un país hermoso,AUSTRÍA SU PAÍS HERMOSO,spa-mslg,train
mi jefe me pagó la mitad del sueldo,MI JEFE ÉL PAGAR MÍ SUELDO MITAD,spa-mslg,train
hoy mi celular ya tiene saldo,HOY MÍ CELULAR YO YA TENER SALDO,spa-mslg,train
METRO LÍNEA FALLO 12 CONSTRUIR NÚMERO ARREGLAR,la línea 12 del metro tuvo un gran fallo estructural,mslg-spa,train
edgar es maestro,EDGAR MAESTRO,spa-mslg,test
MESA FIERRO PESADO,la mesa de fierro está muy pesada,mslg-spa,train
el perro tiene mucha sed,PERRO MUCHO SED,spa-mslg,train
ANTES PRESIDENTE MÉXICO ¿QUIÉN? CARLOS-SALINAS-DE-GORTARI,¿ quién fue el presidente de méxico ? carlos salinas de gortari,mslg-spa,train
mi hermanito tiene los dientes chuecos,MI HERMANO TENER DIENTE DIENTE CHUECO,spa-mslg,test
hay muchos hombres mujeriegos,HOMBRE MUJERIEGO MUCHO,spa-mslg,train
mi amiga es modelo de una revista,MI AMIGO+MUJER MODELO SU REVISTA,spa-mslg,train
mi amiga-hermana se inscribió en una competencia de atletismo,COMPETENCIA ATLETISMO MI AMIGO+MUJER YA INSCRIBIRSE,spa-mslg,train
en la madrugada escuché una explosión,MADRUGADA EXPLOSIÓN YO ESCUCHAR,spa-mslg,train
ALGUIEN ÉL AYUDAR MÍ,algunas personas son voluntarias en la cruz roja,mslg-spa,train
la línea 12 del metro tuvieron un gran fallo estructural,METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR,spa-mslg,train
ÁLVARO OBREGÓN YO VIVIR,yo vivo en la delegación álvaro obregón,mslg-spa,train
ADVENTISTA TODOS-SÁBADOS ADORAR ELLOS DIOS DESCANSAR,los adventistas descansan los sábados y adoran a dios,mslg-spa,train
mi primo se peleó conmigo ayer,YO M PRIMO PERLEAR CONMIGO,spa-mslg,val
PABLO FLOJO,pablo es flojo,mslg-spa,train
SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,me pasé un semáforo ahora tengo que pagar una multa,mslg-spa,train
PERRO DEBAJO MESA,el perro está debajo de la mesa,mslg-spa,train
BAJA-CALIFORNIA-SUR PLAYA DIFERENTES MUCHO LIMPIO,las playas de baja california sur son muy limpias,mslg-spa,train
la mesa de fierro está muy pesada,MESA FIERRO PESADO,spa-mslg,train
SPANISH TO MSLG: PERRO DEBAJO MESA,el perro estará debajo de la mesa,mslg-spa,train
TODOS IGLESIA GRITAR ¡ALELUYA!,todos en la iglesia gritan ¡aleluya,mslg-spa,val
le gustan las galleta gamesa,YO GUSTAR GALLETA DIFERENTE GAMESA,spa-mslg,train
POLLO YO QUERER COMER,quiero comer pollo,mslg-spa,train
SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR,la semana pasada mi papá cortó la hierba con la hoz,mslg-spa,train
¿CÓMO SEÑA APÓSTOLES?,¿ cómo haces la seña de apóstoles ?,mslg-spa,train
METRO LÍNEA NÚMERO 12 FALLO CONSTRUIR ARREGLAR,la línea 12 del metro tuvo un gran fallo estructural,mslg-spa,train
ayer compré un jersey,AYER SUÉTER YO YA COMPRAR,spa-mslg,train
VAGINA ADENTRO CUERPO ORIGINAL MUJER,la vagina es un órgano femenino,mslg-spa,train
CHARLES-MICHEL-L´ÉPÉE PADRE SORDO,charles-michel de l’épée es el “padre de los sordos”,mslg-spa,train
juan gabriel nació en ciudad juárez,JUAN GABRIEL NACER CIUDAD JUÁREZ,spa-mslg,train
ABRIL CUMPLEAÑOS MI TÍO+MUJER NOSOTROS HACER FIESTA,el cumpleaños de mi tía es en abril y le haremos fiesta,mslg-spa,val
hoy adquirí en wal-mart una bomba de aire para mi papá,HOY WAL-MART BOMBA AIRE PARA MI PAPÁ YA YO COMPRAR,spa-mslg,train
berlín es la capital de alemania,BERLÍN CAPITAL SU ALEMANIA,spa-mslg,train
yo compro carne en el supermercado,CARNE YO COMPRAR SUPERMERCADO,spa-mslg,train
LUGAR TOKIO SU ASIA,tokio se ubica en asia,mslg-spa,train
voy a estudiar hasta secundaria y después quiero trabajar,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,spa-mslg,train
HACE-PASADO CRISTÓBAL-COLÓN DESCUBRIR AMÉRICA,cristóbal colón descubrió américa hace años,mslg-spa,train
adquirí ese celular ayer pero esté muy corrientes,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,spa-mslg,train
me gusta coleccionar carros de juguete,JUGUETE CARRO YO GUSTAR COLECCIONAR,spa-mslg,train
¡YO ASUSTAR ALMA DESAPARECER!,¡del susto se me escapó el alma,mslg-spa,train
SEMANA PASADA PASTO MÍ PAPÁ HOZ CORTAR,la semana pasada mi papá cortó la hierba con la hoz,mslg-spa,train
NOSOTROS FUTBOL JUGAR GANAR ¡VIVA!,ganamos el partido de futbol ¡viva,mslg-spa,train
ojalá tengas éxito,OJALÁ TÚ ÉXITO,spa-mslg,train
YO YA SABER LEER INGLÉS IDIOMA,yo sé leer en idioma inglés,mslg-spa,train
PRXIMO CONFERENCIA LUGAR MONTERREY,la próxima conferencia será en monterrey,mslg-spa,train
la almohada es muy cómoda para dormir,ALMOHADA CMODA ALMOHAD PARA DORMIR,spa-mslg,train
PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR,mi hermana se casa el próximo domingo,mslg-spa,train
mi mamá cocina en la olla express caldo de pollo sabroso,YO MAM COCINA OLLA-EXPRÉS POLLO CALDO SABROSO,spa-mslg,train
PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR,mi hermana se casa el próximo domingo,mslg-spa,train
CUBA CALOR,en cuba hace mucho calor,mslg-spa,train
TOMÁS APÓSTOL JESÚS,tomás fue un apóstol de jesús,mslg-spa,train
me mandas un mensaje de whatsapp en la noche,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,spa-mslg,train
"LENGUA MÁS HABLA CHINA, INGLATERRA, ESPAÑA",las lenguas más habladas son el chino el inglés y el español,mslg-spa,train
PAN BOLILLO TÚ COMPRAR,compra pan bolillo,mslg-spa,train
FILIPINAS SUYO ASIA,filipinas está en asia,mslg-spa,train
la construcción de la escuela ya esté avanzada,ESCUELA CONSTRUCCIÓN YA AVANZADA,spa-mslg,train
mi computadora no prende estoy preocupado,MI COMPUTADORA PRENDER NO YO PREOCUPADO,spa-mslg,train
"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD",la semana pasada fui a plaza universidad,mslg-spa,train
¿TÚ YA CENAR?,¿ ya cenaste ?,mslg-spa,train
en la madrugada escuché una explosión,MADRUGADA EXPLOSIÓN YO ESCUCHAR,spa-mslg,train
el jueguete está caro,ESTE JUGUETE BARATO,spa-mslg,train
nosotros debemos muchas actividades en la escuela,NOSOTROS TENER MUCHA ACTIVIDAD DIFERENTE ESCUELA,spa-mslg,train
MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,mis amigos argentinos estudiaron antropología,mslg-spa,train
mi mí familia y yo fuimos a celaya,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,spa-mslg,train
mi amigo julio tiene un acta de demanda,MI AMIGO JULIO TENER ACTA-DEMANDA,spa-mslg,train
¿ quién fue el presidente de méxico ? carlos salinas de gortari,QUIÉN PRESIDENTE MÉXICO? CARLOS-SALINAS-DE-GORTARI,spa-mslg,test
PLAYA TORTUGA HABER,hay una tortuga en la playa,mslg-spa,train
¿ crees que todos tenemos alma ?,¿TÚ CREER TODOS ALMA TENER?,spa-mslg,train
"#VGT, #LSFB AMBOS SU LENGUA-DE-SEÑAS SU PAÍS BÉLGICA",en bélgica hay dos lenguas de señas: vgt y lsfb,mslg-spa,train
¡ay qué sorpresa verte aquí,AY! SORPRESA AQU YO VER TI,spa-mslg,test
MARIBEL DIPLOMA NIVEL AVANZADO,maribel cursa el nivel avanzado en el diplomado,mslg-spa,train
aumentó el sueldo en un 12%,12% SUELDO YA AUMENTAR,spa-mslg,test
YO CONOCER BANGLADESH BONITO YA VERDAD,yo conozco bangladesh es muy bonito de verdad,mslg-spa,test
MALETA-DE-RUEDAS MEJOR DOLER NO CUERPO,usa maleta de ruedas mejor no lastima el cuerpo,mslg-spa,train
me duele la espalda porque ayer cargué un mueble,YO DOLOR ESPALDA PORQUE AYER MUEBLE YO CARGAR,spa-mslg,train
PRÓXIMO VACACIONES YO VIAJAR CIUDAD-OBREGÓN,las próximas vacaciones iré de viaje a ciudad obregón,mslg-spa,train
ayer compré un suéter,AYER SUÉTER YO COMPRAR,spa-mslg,train
SIEMPRE CUANDO ACABAR BAÑAR YO PONER-DESODORANTE,el cuando me acabo de baar siempre me pongo desodorante,mslg-spa,train
ESE CARRO NUEVO LUJOSO,ese carro nuevo es muy lujoso,mslg-spa,val
AÑO-PASADO MI GENERACIÓN GRADUAR,mi generación se graduó el año pasado,mslg-spa,train
SPANISH TO MSLG: EDGAR MAESTRO,edgar será maestra,mslg-spa,train
mi primo se peleó conmigo ayer,YO M PRIMO PERLEAR CONMIGO,spa-mslg,train
la almohada es muy cómoda para dormir,ALMOHADA CÓMODA ALMOHADA PARA DORMIR,spa-mslg,train
sara topó muchas almejas en el mar,SARA MUCHA ALMEJA ADENTRO MAR ELLA ENCONTRAR,spa-mslg,train
EFECTIVO NINGÚN YO TRAER,no traigo efectivo,mslg-spa,train
IGLESIA CAMPANA GRANDE,en la iglesia hay una campana muy grande,mslg-spa,train
ayer fui a pasear  me senti muy bien,AYER YA PASEAR SENTIR BIEN,spa-mslg,train
mi mamá es católica,MI MAMÁ CATÓLICA,spa-mslg,train
AIMÉ SALTAR PARACAIDAS,aimé saltó en paracaídas,mslg-spa,train
el propietario de esa fábrica resultó acusado de enriquecimiento ilícito,SU DUEO FBRICA ACUSADO ENRIQUECIMIENTO-ILCITO,spa-mslg,train
nosotros abrimos el horno para meterla esos pasteles,NOSOTROS ABRIR-HORNO PARA PASTEL,spa-mslg,train
mi amigo julio tiene un acta de demanda,MI AMIGO JULIO TENER ACTA-DEMANDA,spa-mslg,train
VENTANA FILA GOBIERNO PAPEL DEBER PONER-SELLO ENTREGAR TRÁMITE,entrega el trámite en la ventanilla de gobierno deben poner un sello,mslg-spa,train
SIEMPRE NIÑO SUEÑO,el niño siempre tiene sueño,mslg-spa,train
HOMBRE EGIPCIO NO RESPONDER,el egipcio no respondió,mslg-spa,train
¿TÚ CONTESTAR MI PREGUNTA PODER?,¿ puedes contestar mi pregunta ?,mslg-spa,train
ÉL GRAVE,él está muy grave,mslg-spa,train
PASADO-SÁBADO CARRETERA HABER ACCIDENTE GRAVE,el sábado pasado hubo un grave accidente en la carretera,mslg-spa,train
ESE CARRO NUEVO LUJOSO,ese carro nuevo es muy lujoso,mslg-spa,val
el juguete está barato,ESTE JUGUETE BARATO,spa-mslg,train
JUAN GABRIEL JUÁREZ NACER CIUDAD,juan gabriel nació en ciudad juárez,mslg-spa,train
ya descubrí su secreto,SUYO SECRETO YO YA DESCUBRIRSE YA,spa-mslg,train
JAPÓN ESE ISLA BONITO,japón es una isla bonita,mslg-spa,train
HOMBRE EGIPCIO NO RESPONDER,el egipcio no respondió,mslg-spa,test
¿TÚ CREER TODOS ALMA TENER?,¿ crees que todos tenemos alma ?,mslg-spa,train
TODO PRODUCTO HABER CÓDIGO-DE-BARRAS ETIQUETA,todos los productos se etiquetan con un código de barras,mslg-spa,train
HOMBRE GOBERNADOR PUBLICIDAD CALLES COLOCAR COLOCAR,el gobernador colocó mucha publicidad por las calles,mslg-spa,train
el windsurf necesita del aire para deslizarse,WINDSURF NECESITAR VIENTO MAR,spa-mslg,val
raúl entrena los sábados en cepamex,TODO-SÁBADO TODO-SÁBADO CEPAMEX RAÚL ENTRENAR,spa-mslg,train
ÉL DESEAR CONQUISTAR ELLA MUJER PERO MIEDO ELLA ABANDONAR,él desea conquistar a una mujer pero tiene miedo de que lo abandonen,mslg-spa,train
AUSTRÍA SU PAÍS HERMOSO,austria es un país hermoso,mslg-spa,train
MAESTRA MATEMÁTICAS MUCHAS BROMAS,en la maestra de matemáticas dice muchas bromas,mslg-spa,train
SIEMPRE MI FAMILIA TELETN DONAR DONAR,mi familia siempre dona a teletón,mslg-spa,train
COLOR GRIS YO GUSTAR,me gusta el color gris,mslg-spa,train
necesito papel para absorber el agua,YO NECESITAR PAPEL PARA AGUA ABSORBER,spa-mslg,train
borré los contactos de mi teléfono,TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR,spa-mslg,train
en la iglesia hay una campana muy grande,IGLESIA CAMPANA GRANDE,spa-mslg,train
es fácil aprender las letras del abecedario,FÁCIL APRENDER LETRA ABECEDARIO,spa-mslg,train
MI PUERTA COLOR AZUL YO PINTAR YA,pinté mi puerta de color azul,mslg-spa,train
TELÉFONO MI LISTA CONTACTO CONTACTO YO YA BORRAR,borré los contactos de mi teléfono,mslg-spa,train
HOY YO IR ZOOLOGICO YO VER YA GORILA,hoy fuí al zoológico y vi un gorila,mslg-spa,train
AÑO-PASADO UNIVERSIDAD YO TERMINAR,el ao pasado terminé la universidad,mslg-spa,test
rocío retiró dinero ayer en el banco,AYER BANCO ROCÍO DINERO RETIRAR,spa-mslg,train
mi abuelo ayuda a la colecta navideña,ADORNAR NAVIDAD MI ABUELO AYUDAR,spa-mslg,test
mi hermana se casa el próximo domingo,PRÓXIMO-DOMINGO MI HERMANO+MUJER CASAR,spa-mslg,train
ya dime la verdad no eludas la pregunta,YA TÚ DECIR MÍ NO ELUDIR PREGUNTA,spa-mslg,train
NAVIDAD ÚLTIMA DOS-DE-NOSOTROS NO-TE-HE-VISTO,no te he visto desde la última navidad,mslg-spa,val
SPANISH TO MSLG: ROSALA TRABAJAR ARCHIVO HOSPITAL,rosalía trabaja en el archivo del hospital,mslg-spa,train
ayer mi entregué el enganche y a auto,AYER MI ENTREGAR-ENGANCHE YO AUTOMÓVIL,spa-mslg,test
el amigo de juana es árabe,JUANA SU AMIGO RABE,spa-mslg,train
BLOQUEAR PROTEGER SOL,el bloqueador me protege del sol,mslg-spa,train
el hijo de mi vecino siempre es tremendamente desobediente,SIEMPRE HIJO MI VECINO MUCHO DESOBEDECER,spa-mslg,train
CRISTIANA YO CREER FE,yo creo en la fe cristiana,mslg-spa,train
Y-ESO?,¿ y eso ?,mslg-spa,train
EDGAR MAESTRO,edgar es maestro,mslg-spa,test
YO M YO NO-GRUSTAR NO-GUSTAR AMETRALLADORA,a mí no me disgustan esas ametralladoras,mslg-spa,train
YO CONOCER ÉL BIEN YA YO VER ÉL CONSTA,yo lo conozco bien me consta,mslg-spa,val
los zapatos del payaso son amarillos,PAYASO ZAPATO SUYO COLOR AMARILLO,spa-mslg,train
MUCHO PERSONA CORÁN ELLOS CREER,muchas personas creen en el corán,mslg-spa,train
TEMPRANO DESPERTAR CORRER YO DEBER COSTUMBRE,tengo que acostumbrarme a despertarme a correr temprano,mslg-spa,train
CARRETILLA-DE-CARGA COSTALES LLEVAR,lleva los costales en la carretilla,mslg-spa,train
en la madrugada escuché una explosión,MADRUGADA EXPLOSIÓN YO ESCUCHAR,spa-mslg,train
mi abuela tiene 90 años,MÍ ABUELO+MUJER 90 EDAD,spa-mslg,train
HERMANO ÚLTIMO DOCTOR-DIENTES,mi hermano menor es dentista,mslg-spa,train
la almohada es muy comoda para dormir,ALMOHADA CÓMODA ALMOHADA PARA DORMIR,spa-mslg,train
YO M ABUELO+MUJER 90 AOS,mi abuela tiene 90 años,mslg-spa,train
mi tío vive en guatemala,MI TÍO GUATEMALA VIVIR,spa-mslg,train
ESE LIBRO YO GUSTAR,ese libro me gusta,mslg-spa,train
SIEMPRE CUANDO ACABAR PONER-DESODORANTE YO BAÑAR,cuando me acabo de bañar siempre me pongo desodorante,mslg-spa,train
SIEMPRE YO ACOSTUMBRAR SUBIR-COCHE TAXI,acostumbro usar taxi siempre,mslg-spa,train
nosotros aprendemos gramática en la escuela,LUGAR ESCUELA NOSOTROS APRENDER GRAMÁTICA,spa-mslg,val
JUANA SU AMIGO ÁRABE,el amigo de juana es árabe,mslg-spa,train
MAESTRA MATEMÁTICAS MUCHAS BROMAS,la maestra de matemáticas dice muchas bromas,mslg-spa,train
el calendario de la sep termina en agosto,SU #SEP CALENDARIO AGOSTO TERMINAR,spa-mslg,train
todos los correos usan arroba,TODO CORREO-ELECTRÓNICO USAR ARROBA,spa-mslg,train
no debes ser malo,TÚ MALO NO DEBER,spa-mslg,train
la semana pasada fui a plaza launiversidad,"SEMANA PASADA, YO IR PLAZA UNIVERSIDAD",spa-mslg,train
TÚ CUIDAR MUCHO MAÑANA VERNOS,cuídate mucho nos vemos mañana,mslg-spa,test
un policía persiguen a el joven,POLICÍA PERSEGUIR JOVEN,spa-mslg,test
mi primo se luchó migo anoche,YO M PRIMO PERLEAR CONMIGO,spa-mslg,val
mi auto no tiene cinturón de seguridad,CINTURÓN-DE-SEGURIDAD MI AUTO NO-HAY,spa-mslg,train
el hijo de mi vecino siempre es muy desobediente,SIEMPRE HIJO MI VECINO MUCHO DESOBEDECER,spa-mslg,train
yo compro carne en el supermercado,CARNE YO COMPRAR SUPERMERCADO,spa-mslg,train
la linea 12 del metro tuvieron un gran fallo estructural,SPANISH TO MSLG: LINEA 12 DEL METRO TUVO UN GRAN FALLO STRUCTURAL,spa-mslg,train
el capitán del barco es muy inteligente,BARCO CAPITÁN ÉL INTELIGENTE,spa-mslg,train
tom cruice es un actor muuuuuuuy famoso,ACTOR TOM CRUICE FAMOSO,spa-mslg,test
mi ganó medalla de oro en el maratón,MARATÓN MI GANAR MEDALLA PRIMO YA ORO,spa-mslg,train
ayer compré un suéter,AYER SUÉTER YO YA COMPRAR,spa-mslg,train
AYER CINE PRIMO ELLA MI AMIGO+MUJER YA MI CONQUISTAR,ayer mi primo conquistó a mi amiga en el cine,mslg-spa,train
DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,mi vecino va diario a alcohólicos anónimos,mslg-spa,train
PRXIMO CONFERENCIA LUGAR MONTERREY,la próxima conferencia será en monterrey,mslg-spa,train
MI HIJO YO ABANDONAR,yo abandoné a mi hijo,mslg-spa,train
esta servilleta está sucia,ESTA SERVILLETA SUCIA,spa-mslg,test
NOEMÍ YA ULTRASONIDO SABER SUYO BEBE NIÑO NIÑO+MUJER,noemí se hizo un ultrasonido para saber si su bebé era niño o niña,mslg-spa,train
TUS OJOS HERMOSOS COLOR CAFÉ,tú tienes unos hermosos ojos color café,mslg-spa,train
CIUDAD-DE-MÉXICO ENORME,la ciudad de méxico es enorme,mslg-spa,train
yo no tengo la culpa,YO TENER-CULPA,spa-mslg,test
SIEMPRE NIÑO SUEÑO,el nio siempre tiene sueo,mslg-spa,train
mi amiga y su novio van los sábados al casino,TODOS-SÁBADOS MI AMIGO+MUJER SUYO NOVIO CASINO IR,spa-mslg,test
DOMINGO YO YO CONFIRMACIÓN IR,el domingo me iré a una confirmación en la spanio,mslg-spa,val
fui a cancún de ida y vuelta,ANTES CANCÚN IDA-Y-VENIR,spa-mslg,train
ayer fui a pasear y me senti muy bien,AYER YA PASEAR SENTIR BIEN,spa-mslg,val
en la maestra de matemáticas dice muchas bromas,MAESTRA MATEMÁTICAS MUCHAS BROMAS,spa-mslg,train
NOSOTROS PARA EXAMEN NOSOTROS ESTUDIAR,estudiamos para el examen,mslg-spa,train
CADA NIÑO ESCUELA TENER COMPUTADORA TRABAJAR,en la escuela cada niño tiene una computadora para trabajar,mslg-spa,train
SPANISH TO MSLG: T Y A DEBER RESPONSABLE T YA ADULTO,tú ya debes ser responsable ya eres un adulto,mslg-spa,train
ELLOS PERSONA ENFERMO TU ENFRENTARSE TÚ CONTAGIAR PODER,no te juntes con personas enfermas te pueden contagiar,mslg-spa,train
BANDERA MÉXICO ESE MUCHO BONITO ESCUDO,el escudo de la bandera de méxico es muy bonito,mslg-spa,train
esa antena es muy cara,ESA ANTENA CARA VERDAD,spa-mslg,train
él siempre está muy distraído,SIEMPRE MUCHO DISTRADO,spa-mslg,val
yo sé leer en idioma inglés,YO YA SABER LEER INGLÉS IDIOMA,spa-mslg,train
mi carro usa cuatro cilindros,CUATRO CILINDRO MI CARRO USAR,spa-mslg,train
el dueño de misma fábrica fue acusados de enriquecimiento ilícito,TOMG DUO DUEO DUEO ESA FBRICA ACUSADO ENRIQUECIMIENTO-ILCITO,spa-mslg,train
AYER YO PASEAR SENTIR BIEN,ayer fui a pasear y me senti muy bien,mslg-spa,train
la semana pasada ped un aventón,SEMANA PASADA CASETA YO LUGAR PEDIR AVENTÓN,spa-mslg,val
el año pasado viajé a guanajuato,AÑO-PASADO YO VIAJAR GUANAJUATO,spa-mslg,train
SPANISH TO MSLG: HABER CONQUISTAR ELLA MUJER PERO MIEDO ELL A ABANDONAR,él desea conquistar a una mujer pero tiene miedo de que lo abandonen,mslg-spa,test
ALGUIEN ÉL AYUDAR MÍ,algunas personas son voluntarias en la cruz roja,mslg-spa,train
10 MAÑANA NOS-VEMOS METRO CHABACANO,nos vemos en el metro chabacano a las 10 de la mañana,mslg-spa,train
SANTIAGO MONEDA GUARDAR-BOLSILLO,santiago guarda en su bolsillo una moneda,mslg-spa,train
LEGISLADOR YA PROPONER NUEVA LEY LSM,el legislador propuso una nueva ley de lsm,mslg-spa,train
NUEVO CD YO YA PERDER,perdí mi nuevo cd,mslg-spa,train
tú ya debes ser responsable ya eres un adulto,SPANISH TO MSLG: T Y A DEBER RESPONSABLE T YA ADULTO,spa-mslg,train
quiero ir a estudiar el próximo año la universidad en san diego,PRÓXIMO AÑO YO IR UNIVERSIDAD ESTUDIAR LUGAR SAN DIEGO,spa-mslg,train
YO CONOCER BANGLADESH YA BONITO VERDAD,yo conozco bangladesh es muy bonito de verdad,mslg-spa,test
YO M PRIMO PERLEAR CONMIGO,mi primo se peleó conmigo ayer,mslg-spa,train
YO GUSTAR PAPA,me gustan las papas,mslg-spa,train
ÉL EJERCER EJERCER FORTALECER,él hace mucho ejercicio para fortalecerse,mslg-spa,train
FRECUENTEMENTE YO IR CINE,frecuentemente voy al cine,mslg-spa,train
YO YA GANAR CAMPEONATO,yo gané el campeonato,mslg-spa,train
le regalé un juguete a mi ahijado,JUGUETE MI AHIJADO YO REGALAR ÉL YA,spa-mslg,train
el papa regañó a los obispos en méxico,MÉXICO PAPA ÉL REGAÑAR OBISPO,spa-mslg,train
no siempre voy a casa sólo a veces,A-VECES YO IR CASA SIEMPRE NO,spa-mslg,train
MI HERMANO+MUJER NO NACER TEXAS,mi hermana no nació en texas,mslg-spa,test
mi generación se graduándose el mes pasado,AÑO-PASADO MI GENERACIÓN GRADUAR,spa-mslg,train
tú ya debes ser responsable ya eres un adulto,SPANISH TO MSLG: T Y A DEBER RESPONSABLE T YA ADULTO,spa-mslg,train
AHORITA NIÑO DIOS YA MECER,es hora de mecer al niño dios,mslg-spa,test
la construccción de la escuela ya está avanzada,LUGAR ESCUELA CONSTRUCCIN YA AVANZADA,spa-mslg,val
CAJA PEQUEÑA SU COLOR ROJO,la caja pequeña es de color rojo,mslg-spa,train
SIEMPRE BEBÉ EXPRESAR EXPRESAR,el bebé siempre es muy expresivo,mslg-spa,train
SPANISH TO MSLG: ROSALA TRABAJAR ARCHIVO HOSPITAL,rosalía trabaja en el archivo del hospital,mslg-spa,train
esa persona me abofeteó,YO M PERSONA ABOFETEAR M,spa-mslg,val
en canadá están las cataratas del niágara que son hermosas,CANADÁ CASCADA CATARATAS DEL NIÁGARA BONITA,spa-mslg,test
él abandonó a su hijo,SU HIJO ÉL ABANDONAR,spa-mslg,train
maribel cursa el nivel avanzado en el diplomado,MARIBEL DIPLOMA NIVEL AVANZADO,spa-mslg,train
¿DÓNDE TUYO LOCAL?,¿ dónde está tu local ?,mslg-spa,train
él simpre está muy distraído,SIEMPRE ÉL DISTRAÍDO,spa-mslg,train
SUÉTER BLANCO YO PERDER,yo perd el suéter blanco,mslg-spa,train
YO M PRIMO YA CONQUISTAR MI AMIGO+MUJER CINE,ayer mi primo conquistó a mi amiga-hermana en el cine,mslg-spa,train
CREDENCIAL VOTAR HABER HUELLA MI,la credencial del ine tiene mi huella,mslg-spa,train
